,SMILES
47,COc1ccccc1CNC(=O)[C@H](CCSC)NC(=O)[C@@H]2Cc3ccccc3CN2
48,C1=CC=C(C=C1)C=CCO
49,CC1=CC(=CC(=C1)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O
50,CNCC[C@@H](Oc1ccccc1C)c2ccccc2
51,Cc1cccc(C)c1N(CCOC)C(=O)CCl
52,CO[C@@H]([C@@H]1CC2=CC3=CC(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](OC)[C@@H](C)O5)[C@H](OC(C)=O)[C@@H](C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1O[C@H]6C[C@@H](OC7C[C@@H](O[C@H]8C[C@](C)(O)[C@H](OC(C)=O)[C@@H](C)O8)[C@@H](O)[C@@H](C)O7)[C@H](O)[C@@H](C)O6)C(=O)[C@@H](O)[C@@H](C)O
53,CC12CCCC(C)(C1CCC(=C)C2CC/C3=C/COC3=O)C(O)=O
54,CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C
55,C\C=C\C(C)=O
56,C[C@]12[C@@H](O)[C@H](OC1=O)\C=C/3[C@@H]4CC[C@@H]5C[C@]4(CC5=C)[C@H]([C@H]23)C(O)=O
57,CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl
58,C1(=C(C=C2C(=C1)NC(N(C2=O)C3=CC=CC=C3C)C)S(=O)(=O)N)Cl
59,Cc1ccccc1c2[nH]c(cc3c4ccccc4nc23)C(=O)NCC5CCCO5
60,CC1=C2C(=CC=C1)SC3=NN=CN23
61,C1(=CC(=CC2=C1NC=C2CCN(C)C)CN3C=NC=N3).C4=CC(=CC=C4)C(O)=O
62,[H][C@@]1([C@@](O[C@](NC([C@@H]2C[C@@](C3=C4C(C5)=CNC4=CC=C3)([H])[C@]5([H])N(C)C2)=O)(C)C6=O)(O)N6[C@H]7CC8=CC=CC=C8)CCCN1C7=O
63,CCCCC(=O)C(O)=O
64,COc1c(CC=C(C)C)cc(cc1CC=C(C)C)C2CC(=O)c3c(O)cc(O)cc3O2
65,NC(=O)c1ccc(OCCC(O)N2CCC(=CC2)c3ccc(F)cc3)cc1.Cl
66,OC[C@H]1O[C@@H](OC2=CC=C3C(=O)C[C@H](OC3=C2)C4=CC=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]6OC[C@](O)(CO)[C@H]6O)C=C4)[C@H](O)[C@@H](O)[C@@H]1O
67,CC(C)C1=C(C)N(C)N(C1=O)c1ccccc1
68,COC(=O)C2(CC1=CC=C(O)C(CC=C(C)C)=C1)OC(=O)C(OC)=C2C3=CC(O)=C(O)C(CC=C(C)C)=C3
69,OS(=O)(=O)C1=CC=C2N=C(NC2=C1)C1=CC=CC=C1
70,CC1(C/C=C/2C(CCC3C(C)(CCCC23C)C(O)=O)C1)C=C
71,OCC(O1)C(O)C(O)C(O)C(OCC(C)=CCNc(n4)c(n3)c(nc4)n(c3)C(O2)C(O)C(O)C(CO)2)1
72,O=C(O)C(O)c1cc(O)c(O)cc1
73,NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O
